# X   Y   E
0
1.67 1.19396 0.0183813
1.69 1.18653 0.018249
1.71 1.17067 0.0181098
1.73 1.1638 0.0180546
1.75 1.13532 0.0178568
1.77 1.11906 0.0177247
1.79 1.09074 0.0174765
1.81 1.08106 0.0173859
1.83 1.04928 0.0171174
1.85 1.03878 0.0170248
1.87 1.01492 0.0168304
1.89 1.0365 0.0169511
1.91 1.02189 0.0167825
1.93 1.02901 0.0168017
1.95 1.03836 0.0169255
1.97 1.04287 0.0169606
1.99 1.03286 0.0223093
2.003 0.98656 0.02618
2.00901 0.961137 0.029735
2.01504 0.95645 0.0296616
2.02108 0.975402 0.0298925
2.02714 0.976283 0.0297543
2.03323 0.972448 0.0295921
2.03933 0.95142 0.0292125
2.04544 0.950308 0.0291651
2.05158 0.968829 0.0294643
2.05773 1.0015 0.0299234
2.06391 1.00391 0.0299814
2.0701 0.969724 0.029409
2.07631 0.976197 0.0295694
2.08254 1.00249 0.0299372
2.08879 1.00968 0.0300817
2.09505 0.995871 0.0298279
2.10134 1.00822 0.0300008
2.10764 1.03555 0.0303549
2.11396 1.05465 0.0306522
2.12031 1.06391 0.0308073
2.12667 1.05025 0.0306242
2.13305 0.996944 0.0298299
2.13945 0.937216 0.0289883
2.14587 0.938219 0.0290531
2.1523 0.979718 0.029691
2.15876 1.02927 0.0304525
2.16524 1.052 0.0307643
2.17173 1.02716 0.0303925
2.17825 1.00559 0.0300408
2.18478 0.982916 0.0297746
2.19134 1.01663 0.0303006
2.19791 1.01322 0.0302293
2.2045 0.986025 0.0297756
2.21112 0.970218 0.0295698
2.21775 0.969185 0.0295875
2.2244 1.00545 0.0301563
2.23108 0.995101 0.0299792
2.23777 0.997553 0.0300115
2.24448 0.975057 0.0296443
2.25122 0.971667 0.0295587
2.25797 0.968638 0.0294807
2.26474 0.987192 0.0297484
2.27154 0.998254 0.0299079
2.27835 1.00813 0.0300016
2.28519 0.995862 0.0297686
2.29204 1.00044 0.0297898
2.29892 0.975923 0.0293864
2.30582 0.985987 0.0294926
2.31273 0.970136 0.0291874
2.31967 0.967115 0.0290998
2.32663 0.949204 0.0287937
2.33361 0.951541 0.0287845
2.34061 0.987445 0.0292565
2.34763 1.01378 0.0295886
2.35468 1.04627 0.0300232
2.36174 1.08408 0.0305203
2.36883 1.0748 0.0303502
2.37593 1.04861 0.0299044
2.38306 1.00482 0.0292037
2.39021 1.01115 0.0292252
2.39738 1.01659 0.0292575
2.40457 1.0099 0.0291159
2.41179 1.00426 0.0289959
2.41902 1.02214 0.0292165
2.42628 1.03761 0.029392
2.43356 1.03379 0.0292893
2.44086 1.04398 0.0293685
2.44818 1.02742 0.0290982
2.45553 1.02322 0.0289936
2.46289 1.01181 0.0287937
2.47028 1.03346 0.0290472
2.47769 1.08872 0.0297687
2.48512 1.06885 0.0294432
2.49258 1.05216 0.029159
2.50006 1.00304 0.0284116
2.50756 1.03435 0.0288105
2.51508 1.07218 0.0292906
2.52263 1.09688 0.0295888
2.53019 1.11019 0.0297222
2.53778 1.1036 0.0295857
2.5454 1.07855 0.0291958
2.55303 1.04841 0.0287372
2.56069 1.00813 0.028133
2.56837 1.00776 0.0281079
2.57608 1.02442 0.0283102
2.58381 1.06536 0.0288391
2.59156 1.11489 0.0294499
2.59933 1.1311 0.0296123
2.60713 1.14193 0.0296977
2.61495 1.12919 0.0294798
2.6228 1.1014 0.0290783
2.63067 1.09996 0.0290191
2.63856 1.08542 0.0287874
2.64647 1.10448 0.0289723
2.65441 1.10678 0.0289552
2.66238 1.09413 0.0287489
2.67036 1.1049 0.028862
2.67838 1.10455 0.0288178
2.68641 1.13904 0.0292236
2.69447 1.12218 0.0289641
2.70255 1.09422 0.0285553
2.71066 1.10592 0.0286622
2.71879 1.0911 0.028431
2.72695 1.11654 0.0287214
2.73513 1.09654 0.0284283
2.74334 1.11976 0.0286731
2.75157 1.11379 0.0285444
2.75982 1.12646 0.028662
2.7681 1.13305 0.0287142
2.7764 1.12189 0.0285369
2.78473 1.13961 0.0287157
2.79309 1.13762 0.0286467
2.80147 1.14683 0.0287282
2.80987 1.11848 0.0283283
2.8183 1.11001 0.028177
2.82676 1.11598 0.0282067
2.83524 1.09733 0.0279269
2.84374 1.08424 0.0277183
2.85227 1.03166 0.0270085
2.86083 1.0683 0.0274449
2.86941 1.07473 0.0274916
2.87802 1.10078 0.0277714
2.88665 1.08136 0.0274927
2.89531 1.07873 0.0274191
2.904 1.08321 0.027441
2.91271 1.10218 0.0276303
