# X   Y   E
0
-1.99 0.295349 0.0127733
-1.97 0.308875 0.0106422
-1.95 0.34238 0.0111644
-1.93 0.383504 0.0117726
-1.91 0.419525 0.0122885
-1.89 0.425943 0.0123648
-1.87 0.442104 0.0125603
-1.85 0.460202 0.0127694
-1.83 0.50698 0.01336
-1.81 0.5396 0.0137448
-1.79 0.563747 0.0140172
-1.77 0.590761 0.0143238
-1.75 0.616879 0.0146144
-1.73 0.67146 0.0152356
-1.71 0.72089 0.0157597
-1.69 0.787522 0.0164579
-1.67 0.84568 0.0170216
-1.65 0.906481 0.017593
-1.63 0.973318 0.0181994
-1.61 1.03626 0.0187661
-1.59 1.10045 0.0193314
-1.57 1.16714 0.0198981
-1.55 1.25854 0.0206451
-1.53 1.36844 0.0215178
-1.51 1.49708 0.0224815
-1.49 1.62256 0.0233847
-1.47 1.75371 0.0242879
-1.45 1.86994 0.0250743
-1.43 2.03866 0.026168
-1.41 2.22169 0.0273031
-1.39 2.39849 0.0283594
-1.37 2.5615 0.0292938
-1.35 2.70023 0.0300727
-1.33 2.8753 0.031021
-1.31 2.99506 0.0316618
-1.29 3.13156 0.0323842
-1.27 3.23716 0.0329435
-1.25 3.42859 0.0339205
-1.23 3.56685 0.0346167
-1.21 3.77806 0.0356516
-1.19 3.97788 0.0366223
-1.17 4.28724 0.038057
-1.15 4.61098 0.0395009
-1.13 4.98796 0.0411116
-1.11 5.50582 0.043217
-1.09 6.24373 0.0460356
-1.07 7.14425 0.0492568
-1.05 8.21459 0.0528161
-1.03 9.38259 0.0564542
-1.01 10.6566 0.0601622
-0.99 11.9256 0.063644
-0.97 12.9975 0.066439
-0.95 13.8562 0.0685852
-0.93 14.292 0.0696457
-0.91 14.2135 0.0694308
-0.89 13.6507 0.0680214
-0.87 12.6572 0.0654683
-0.85 11.3623 0.0619899
-0.83 9.86026 0.0576935
-0.81 8.28874 0.0528264
-0.79 6.91345 0.0481615
-0.77 5.61465 0.0432993
-0.75 4.67574 0.0393916
-0.73 3.98211 0.0362228
-0.71 3.62575 0.0344455
-0.69 3.45496 0.0335174
-0.67 3.48054 0.0335505
-0.65 3.63923 0.0342451
-0.63 3.85759 0.0352092
-0.61 4.12409 0.0363608
-0.59 4.50402 0.0379636
-0.57 4.93374 0.039704
-0.55 5.40542 0.0415431
-0.53 5.8883 0.0433458
-0.51 6.43901 0.0453202
-0.49 7.09615 0.0475739
-0.47 7.89995 0.0501983
-0.45 8.92632 0.0533696
-0.43 10.2291 0.057153
-0.41 11.9253 0.0617426
-0.39 13.9644 0.0668513
-0.37 16.5146 0.0727483
-0.35 19.6684 0.0794511
-0.33 23.7263 0.0873358
-0.31 28.9937 0.0966329
-0.29 36.1464 0.108006
-0.27 46.3917 0.122498
-0.25 61.8291 0.141595
